Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Activity ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Name ID,WhoId,TRUE,--,"[ ""Contact"", ""Lead"" ]",Who,reference,FALSE,TRUE
Related To ID,WhatId,TRUE,--,"[ ""Account"", ""Asset"", ""AssetRelationship"", ""Campaign"", ""Case"", ""Contract"", ""Opportunity"", ""Order"", ""Product2"", ""Solution"", ""mohansun__Customer_Satisfaction_Survey__c"", ""mohansun__Delivery__c"", ""mohansun__Invoice__c"", ""mohansun__Line_Item__c"", ""mohansun__Merchandise__c"", ""mohansun__Warehouse__c"" ]",What,reference,FALSE,TRUE
Subject,Subject,TRUE,"[ ""Call"" , ""Email"" , ""Meeting"" , ""Send Letter/Quote"" , ""Other"" ]",--,null,combobox,FALSE,TRUE
Location,Location,TRUE,--,--,null,string,FALSE,TRUE
All-Day Event,IsAllDayEvent,FALSE,--,--,null,boolean,FALSE,TRUE
Due Date Time,ActivityDateTime,TRUE,--,--,null,datetime,FALSE,TRUE
Due Date Only,ActivityDate,TRUE,--,--,null,date,FALSE,TRUE
Duration,DurationInMinutes,TRUE,--,--,null,int,FALSE,TRUE
Start Date Time,StartDateTime,TRUE,--,--,null,datetime,FALSE,TRUE
End Date Time,EndDateTime,TRUE,--,--,null,datetime,FALSE,TRUE
Description,Description,TRUE,--,--,null,textarea,FALSE,TRUE
Account ID,AccountId,TRUE,--,"[ ""Account"" ]",Account,reference,FALSE,FALSE
Assigned To ID,OwnerId,FALSE,--,"[ ""User"" ]",Owner,reference,FALSE,TRUE
Type,Type,TRUE,"[ ""Email"" , ""Meeting"" , ""Other"" , ""Call"" ]",--,null,picklist,FALSE,TRUE
Private,IsPrivate,FALSE,--,--,null,boolean,FALSE,TRUE
Show Time As,ShowAs,TRUE,"[ ""Busy"" , ""OutOfOffice"" , ""Free"" ]",--,null,picklist,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Is Child,IsChild,FALSE,--,--,null,boolean,FALSE,FALSE
Is Group Event,IsGroupEvent,FALSE,--,--,null,boolean,FALSE,FALSE
Group Event Type,GroupEventType,TRUE,"[ ""0"" , ""1"" , ""2"" ]",--,null,picklist,FALSE,FALSE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Archived,IsArchived,FALSE,--,--,null,boolean,FALSE,FALSE
Recurrence Activity ID,RecurrenceActivityId,TRUE,--,"[ ""Event"" ]",null,reference,FALSE,FALSE
Create Recurring Series of Events,IsRecurrence,FALSE,--,--,null,boolean,FALSE,FALSE
Recurrence Start,RecurrenceStartDateTime,TRUE,--,--,null,datetime,FALSE,TRUE
Recurrence End,RecurrenceEndDateOnly,TRUE,--,--,null,date,FALSE,TRUE
