Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Event Relation ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Relation ID,RelationId,FALSE,--,"[ ""Contact"", ""Lead"", ""User"" ]",Relation,reference,FALSE,FALSE
Event ID,EventId,FALSE,--,"[ ""Event"" ]",Event,reference,FALSE,FALSE
Status,Status,TRUE,"[ ""New"" , ""Declined"" , ""Accepted"" , ""Uninvited"" , ""Maybe"" ]",--,null,picklist,FALSE,TRUE
Response Date,RespondedDate,TRUE,--,--,null,datetime,FALSE,TRUE
Response,Response,TRUE,--,--,null,string,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
