"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"AccountShare","Account Share","Id","Account Share ID","id",18,false,"[]",,false,false,,"[]",false
"AccountShare","Account Share","AccountId","Account ID","reference",18,false,"[""Account""]","Account",false,false,,"[]",false
"AccountShare","Account Share","UserOrGroupId","User/Group ID","reference",18,false,"[""Group"",""User""]","UserOrGroup",false,false,,"[]",false
"AccountShare","Account Share","AccountAccessLevel","Account Access","picklist",40,false,"[]",,false,true,,"[""Read Only"",""Read/Write"",""Owner""]",false
"AccountShare","Account Share","OpportunityAccessLevel","Opportunity Access","picklist",40,false,"[]",,false,true,,"[""Private"",""Read Only"",""Read/Write""]",false
"AccountShare","Account Share","CaseAccessLevel","Case Access","picklist",40,false,"[]",,false,true,,"[""Private"",""Read Only"",""Read/Write""]",false
"AccountShare","Account Share","ContactAccessLevel","Contact Access","picklist",40,true,"[]",,false,false,,"[""Private"",""Read Only"",""Read/Write""]",false
"AccountShare","Account Share","RowCause","Row Cause","picklist",40,true,"[]",,false,false,,"[""Owner"",""Manual Sharing"",""Sharing Rule"",""Account Sharing"",""Associated record owner or sharing"",""Person Contact"",""Sales Team"",""Territory Assignment Rule"",""Territory Manual"",""Territory Manual"",""Territory Sharing Rule"",""Territory assignment for forecasting and reporting"",""Guest User Sharing Rule"",""Associated guest user sharing"",""Associated Guest User Sharing"",""Survey Sharing Rule""]",false
"AccountShare","Account Share","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"AccountShare","Account Share","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"AccountShare","Account Share","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
