Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Contact ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Master Record ID,MasterRecordId,TRUE,--,"[ ""Contact"" ]",MasterRecord,reference,FALSE,FALSE
Account ID,AccountId,TRUE,--,"[ ""Account"" ]",Account,reference,FALSE,TRUE
Is Person Account,IsPersonAccount,FALSE,--,--,null,boolean,FALSE,FALSE
Last Name,LastName,FALSE,--,--,null,string,FALSE,TRUE
First Name,FirstName,TRUE,--,--,null,string,FALSE,TRUE
Salutation,Salutation,TRUE,"[ ""Mr."" , ""Ms."" , ""Mrs."" , ""Dr."" , ""Prof."" ]",--,null,picklist,FALSE,TRUE
Middle Name,MiddleName,TRUE,--,--,null,string,FALSE,TRUE
Suffix,Suffix,TRUE,--,--,null,string,FALSE,TRUE
Full Name,Name,FALSE,--,--,null,string,FALSE,FALSE
Record Type ID,RecordTypeId,TRUE,--,"[ ""RecordType"" ]",RecordType,reference,FALSE,TRUE
Other Street,OtherStreet,TRUE,--,--,null,textarea,FALSE,TRUE
Other City,OtherCity,TRUE,--,--,null,string,FALSE,TRUE
Other State/Province,OtherState,TRUE,--,--,null,string,FALSE,TRUE
Other Zip/Postal Code,OtherPostalCode,TRUE,--,--,null,string,FALSE,TRUE
Other Country,OtherCountry,TRUE,--,--,null,string,FALSE,TRUE
Other Latitude,OtherLatitude,TRUE,--,--,null,double,FALSE,TRUE
Other Longitude,OtherLongitude,TRUE,--,--,null,double,FALSE,TRUE
Other Geocode Accuracy,OtherGeocodeAccuracy,TRUE,"[ ""Address"" , ""NearAddress"" , ""Block"" , ""Street"" , ""ExtendedZip"" , ""Zip"" , ""Neighborhood"" , ""City"" , ""County"" , ""State"" , ""Unknown"" ]",--,null,picklist,FALSE,TRUE
Other Address,OtherAddress,TRUE,--,--,null,address,FALSE,FALSE
Mailing Street,MailingStreet,TRUE,--,--,null,textarea,FALSE,TRUE
Mailing City,MailingCity,TRUE,--,--,null,string,FALSE,TRUE
Mailing State/Province,MailingState,TRUE,--,--,null,string,FALSE,TRUE
Mailing Zip/Postal Code,MailingPostalCode,TRUE,--,--,null,string,FALSE,TRUE
Mailing Country,MailingCountry,TRUE,--,--,null,string,FALSE,TRUE
Mailing Latitude,MailingLatitude,TRUE,--,--,null,double,FALSE,TRUE
Mailing Longitude,MailingLongitude,TRUE,--,--,null,double,FALSE,TRUE
Mailing Geocode Accuracy,MailingGeocodeAccuracy,TRUE,"[ ""Address"" , ""NearAddress"" , ""Block"" , ""Street"" , ""ExtendedZip"" , ""Zip"" , ""Neighborhood"" , ""City"" , ""County"" , ""State"" , ""Unknown"" ]",--,null,picklist,FALSE,TRUE
Mailing Address,MailingAddress,TRUE,--,--,null,address,FALSE,FALSE
Business Phone,Phone,TRUE,--,--,null,phone,FALSE,TRUE
Business Fax,Fax,TRUE,--,--,null,phone,FALSE,TRUE
Mobile Phone,MobilePhone,TRUE,--,--,null,phone,FALSE,TRUE
Home Phone,HomePhone,TRUE,--,--,null,phone,FALSE,TRUE
Other Phone,OtherPhone,TRUE,--,--,null,phone,FALSE,TRUE
Asst. Phone,AssistantPhone,TRUE,--,--,null,phone,FALSE,TRUE
Reports To ID,ReportsToId,TRUE,--,"[ ""Contact"" ]",ReportsTo,reference,FALSE,TRUE
Email,Email,TRUE,--,--,null,email,FALSE,TRUE
Title,Title,TRUE,--,--,null,string,FALSE,TRUE
Department,Department,TRUE,--,--,null,string,FALSE,TRUE
Assistant's Name,AssistantName,TRUE,--,--,null,string,FALSE,TRUE
Lead and Referral Source,LeadSource,TRUE,"[ ""Advertisement"" , ""Customer Event"" , ""Employee Referral"" , ""Google AdWords"" , ""Other"" , ""Partner"" , ""Purchased List"" , ""Trade Show"" , ""Webinar"" , ""Website"" ]",--,null,picklist,FALSE,TRUE
Birthdate,Birthdate,TRUE,--,--,null,date,FALSE,TRUE
Contact Description,Description,TRUE,--,--,null,textarea,FALSE,TRUE
Owner ID,OwnerId,FALSE,--,"[ ""User"" ]",Owner,reference,FALSE,TRUE
Email Opt Out,HasOptedOutOfEmail,FALSE,--,--,null,boolean,FALSE,TRUE
Fax Opt Out,HasOptedOutOfFax,FALSE,--,--,null,boolean,FALSE,TRUE
Do Not Call,DoNotCall,FALSE,--,--,null,boolean,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Activity,LastActivityDate,TRUE,--,--,null,date,FALSE,FALSE
Last Stay-in-Touch Request Date,LastCURequestDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Stay-in-Touch Save Date,LastCUUpdateDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Email Bounced Reason,EmailBouncedReason,TRUE,--,--,null,string,FALSE,TRUE
Email Bounced Date,EmailBouncedDate,TRUE,--,--,null,datetime,FALSE,TRUE
Is Email Bounced,IsEmailBounced,FALSE,--,--,null,boolean,FALSE,FALSE
Photo URL,PhotoUrl,TRUE,--,--,null,url,FALSE,FALSE
Data.com Key,Jigsaw,TRUE,--,--,null,string,FALSE,TRUE
Jigsaw Contact ID,JigsawContactId,TRUE,--,--,JigsawContact,string,FALSE,FALSE
Age As Text,FinServ__AgeAsText__c,TRUE,--,--,null,string,FALSE,FALSE
Age,FinServ__Age__c,TRUE,--,--,null,double,FALSE,FALSE
Annual Income,FinServ__AnnualIncome__c,TRUE,--,--,null,currency,FALSE,TRUE
Billing Address,FinServ__BillingAddress__c,TRUE,--,--,null,string,FALSE,FALSE
Citizenship,FinServ__Citizenship__c,TRUE,--,--,null,string,FALSE,TRUE
Country,FinServ__CountryOfResidence__c,TRUE,--,--,null,string,FALSE,TRUE
Created from Lead,FinServ__CreatedFromLead__c,FALSE,--,--,null,boolean,FALSE,TRUE
Current Employer,FinServ__CurrentEmployer__c,TRUE,--,--,null,string,FALSE,TRUE
Employed Since,FinServ__EmployedSince__c,TRUE,--,--,null,date,FALSE,TRUE
Facebook,FinServ__Facebook__c,TRUE,--,--,null,url,FALSE,TRUE
Gender,FinServ__Gender__c,TRUE,"[ ""Female"" , ""Male"" , ""Other"" ]",--,null,picklist,FALSE,TRUE
Individual ID,FinServ__IndividualId__c,TRUE,--,--,null,string,FALSE,FALSE
Individual Type,FinServ__IndividualType__c,TRUE,"[ ""Individual"" ]",--,null,picklist,FALSE,TRUE
Languages Spoken,FinServ__LanguagesSpoken__c,TRUE,--,--,null,string,FALSE,TRUE
LinkedIn,FinServ__LinkedIn__c,TRUE,--,--,null,url,FALSE,TRUE
Mailing Address,FinServ__MailingAddress__c,TRUE,--,--,null,string,FALSE,FALSE
Marital Status,FinServ__MaritalStatus__c,TRUE,"[ ""Single"" , ""Married"" , ""Separated"" , ""Divorced"" , ""Widowed"" ]",--,null,picklist,FALSE,TRUE
Number of Dependents,FinServ__NumberOfDependents__c,TRUE,--,--,null,double,FALSE,TRUE
Occupation,FinServ__Occupation__c,TRUE,--,--,null,string,FALSE,TRUE
Other Address,FinServ__OtherAddress__c,TRUE,--,--,null,string,FALSE,FALSE
Primary Address (Billing),FinServ__PrimaryAddressIsBilling__c,FALSE,--,--,null,boolean,FALSE,TRUE
Primary Address (Mailing),FinServ__PrimaryAddressIsMailing__c,FALSE,--,--,null,boolean,FALSE,TRUE
Primary Address (Other),FinServ__PrimaryAddressIsOther__c,FALSE,--,--,null,boolean,FALSE,TRUE
Primary Address (Shipping),FinServ__PrimaryAddressIsShipping__c,FALSE,--,--,null,boolean,FALSE,TRUE
Shipping Address,FinServ__ShippingAddress__c,TRUE,--,--,null,string,FALSE,FALSE
Source System ID,FinServ__SourceSystemId__c,TRUE,--,--,null,string,FALSE,TRUE
Tax Bracket,FinServ__TaxBracket__c,TRUE,"[ ""10%"" , ""15%"" , ""25%"" , ""28%"" , ""33%"" , ""35%"" ]",--,null,picklist,FALSE,TRUE
Tax ID,FinServ__TaxId__c,TRUE,--,--,null,string,FALSE,TRUE
Twitter,FinServ__Twitter__c,TRUE,--,--,null,url,FALSE,TRUE
Wedding Anniversary,FinServ__WeddingAnniversary__c,TRUE,--,--,null,date,FALSE,TRUE
Country Of Birth,FinServ__CountryOfBirth__c,TRUE,"[ ""Afghanistan"" , ""Aland Islands"" , ""Albania"" , ""Algeria"" , ""Andorra"" , ""Angola"" , ""Anguilla"" , ""Antarctica"" , ""Antigua and Barbuda"" , ""Argentina"" , ""Armenia"" , ""Aruba"" , ""Australia"" , ""Austria"" , ""Azerbaijan"" , ""Bahamas"" , ""Bahrain"" , ""Bangladesh"" , ""Barbados"" , ""Belarus"" , ""Belgium"" , ""Belize"" , ""Benin"" , ""Bermuda"" , ""Bhutan"" , ""Bolivia, Plurinational State of"" , ""Bonaire, Sint Eustatius and Saba"" , ""Bosnia and Herzegovina"" , ""Botswana"" , ""Bouvet Island"" , ""Brazil"" , ""British Indian Ocean Territory"" , ""Brunei Darussalam"" , ""Bulgaria"" , ""Burkina Faso"" , ""Burundi"" , ""Cambodia"" , ""Cameroon"" , ""Canada"" , ""Cape Verde"" , ""Cayman Islands"" , ""Central African Republic"" , ""Chad"" , ""Chile"" , ""China"" , ""Christmas Island"" , ""Cocos (Keeling) Islands"" , ""Colombia"" , ""Comoros"" , ""Congo"" , ""Congo, the Democratic Republic of the"" , ""Cook Islands"" , ""Costa Rica"" , ""Cote d’Ivoire"" , ""Croatia"" , ""Cuba"" , ""Curaçao"" , ""Cyprus"" , ""Czech Republic"" , ""Denmark"" , ""Djibouti"" , ""Dominica"" , ""Dominican Republic"" , ""Ecuador"" , ""Egypt"" , ""El Salvador"" , ""Equatorial Guinea"" , ""Eritrea"" , ""Estonia"" , ""Ethiopia"" , ""Falkland Islands (Malvinas)"" , ""Faroe Islands"" , ""Fiji"" , ""Finland"" , ""France"" , ""French Guiana"" , ""French Polynesia"" , ""French Southern Territories"" , ""Gabon"" , ""Gambia"" , ""Georgia"" , ""Germany"" , ""Ghana"" , ""Gibraltar"" , ""Greece"" , ""Greenland"" , ""Grenada"" , ""Guadeloupe"" , ""Guatemala"" , ""Guernsey"" , ""Guinea"" , ""Guinea-Bissau"" , ""Guyana"" , ""Haiti"" , ""Heard Island and McDonald Islands"" , ""Holy See (Vatican City State)"" , ""Honduras"" , ""Hungary"" , ""Iceland"" , ""India"" , ""Indonesia"" , ""Iran, Islamic Republic of"" , ""Iraq"" , ""Ireland"" , ""Isle of Man"" , ""Israel"" , ""Italy"" , ""Jamaica"" , ""Japan"" , ""Jersey"" , ""Jordan"" , ""Kazakhstan"" , ""Kenya"" , ""Kiribati"" , ""Korea, Democratic People’s Republic of"" , ""Korea, Republic of"" , ""Kuwait"" , ""Kyrgyzstan"" , ""Lao People’s Democratic Republic"" , ""Latvia"" , ""Lebanon"" , ""Lesotho"" , ""Liberia"" , ""Libyan Arab Jamahiriya"" , ""Liechtenstein"" , ""Lithuania"" , ""Luxembourg"" , ""Macao"" , ""Macedonia, the former Yugoslav Republic of"" , ""Madagascar"" , ""Malawi"" , ""Malaysia"" , ""Maldives"" , ""Mali"" , ""Malta"" , ""Martinique"" , ""Mauritania"" , ""Mauritius"" , ""Mayotte"" , ""Mexico"" , ""Moldova, Republic of"" , ""Monaco"" , ""Mongolia"" , ""Montenegro"" , ""Montserrat"" , ""Morocco"" , ""Mozambique"" , ""Myanmar"" , ""Namibia"" , ""Nauru"" , ""Nepal"" , ""Netherlands"" , ""New Caledonia"" , ""New Zealand"" , ""Nicaragua"" , ""Niger"" , ""Nigeria"" , ""Niue"" , ""Norfolk Island"" , ""Norway"" , ""Oman"" , ""Pakistan"" , ""Palestine"" , ""Panama"" , ""Papua New Guinea"" , ""Paraguay"" , ""Peru"" , ""Philippines"" , ""Pitcairn"" , ""Poland"" , ""Portugal"" , ""Qatar"" , ""Reunion"" , ""Romania"" , ""Russian Federation"" , ""Rwanda"" , ""Saint Barthélemy"" , ""Saint Helena, Ascension and Tristan da Cunha"" , ""Saint Kitts and Nevis"" , ""Saint Lucia"" , ""Saint Martin (French part)"" , ""Saint Pierre and Miquelon"" , ""Saint Vincent and the Grenadines"" , ""Samoa"" , ""San Marino"" , ""Sao Tome and Principe"" , ""Saudi Arabia"" , ""Senegal"" , ""Serbia"" , ""Seychelles"" , ""Sierra Leone"" , ""Singapore"" , ""Sint Maarten (Dutch part)"" , ""Slovakia"" , ""Slovenia"" , ""Solomon Islands"" , ""Somalia"" , ""South Africa"" , ""South Georgia and the South Sandwich Islands"" , ""South Sudan"" , ""Spain"" , ""Sri Lanka"" , ""Sudan"" , ""Suriname"" , ""Svalbard and Jan Mayen"" , ""Swaziland"" , ""Sweden"" , ""Switzerland"" , ""Syrian Arab Republic"" , ""Taiwan"" , ""Tajikistan"" , ""Tanzania, United Republic of"" , ""Thailand"" , ""Timor-Leste"" , ""Togo"" , ""Tokelau"" , ""Tonga"" , ""Trinidad and Tobago"" , ""Tunisia"" , ""Turkey"" , ""Turkmenistan"" , ""Turks and Caicos Islands"" , ""Tuvalu"" , ""Uganda"" , ""Ukraine"" , ""United Arab Emirates"" , ""United Kingdom"" , ""United States"" , ""Uruguay"" , ""Uzbekistan"" , ""Vanuatu"" , ""Venezuela, Bolivarian Republic of"" , ""Vietnam"" , ""Virgin Islands, British"" , ""Wallis and Futuna"" , ""Western Sahara"" , ""Yemen"" , ""Zambia"" , ""Zimbabwe"" ]",--,null,picklist,FALSE,TRUE
Preferred Name,FinServ__PreferredName__c,TRUE,--,--,null,string,FALSE,TRUE
