"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"CustomNotificationType","Custom Notification Type","Id","Custom Notification Type Id","id",18,false,"[]",,false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","DeveloperName","Name","string",80,false,"[]",,false,true,,"[]",false
"CustomNotificationType","Custom Notification Type","Language","Master Language","picklist",40,true,"[]",,false,true,,"[""English"",""German"",""Spanish"",""French"",""Italian"",""Japanese"",""Swedish"",""Korean"",""Chinese (Traditional)"",""Chinese (Simplified)"",""Portuguese (Brazil)"",""Dutch"",""Danish"",""Thai"",""Finnish"",""Russian"",""Spanish (Mexico)"",""Norwegian""]",false
"CustomNotificationType","Custom Notification Type","MasterLabel","Label","string",80,false,"[]",,false,true,,"[]",false
"CustomNotificationType","Custom Notification Type","NamespacePrefix","Namespace Prefix","string",15,true,"[]",,false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"CustomNotificationType","Custom Notification Type","CustomNotifTypeName","Name","string",80,false,"[]",,true,true,,"[]",false
"CustomNotificationType","Custom Notification Type","Description","Description","textarea",255,true,"[]",,false,true,,"[]",false
"CustomNotificationType","Custom Notification Type","Desktop","Desktop","boolean",0,false,"[]",,false,true,,"[]",false
"CustomNotificationType","Custom Notification Type","Mobile","Mobile","boolean",0,false,"[]",,false,true,,"[]",false
