Label,Name,Nillable,Picklistvalues,Referenceto,Relationshipname,Type,Unique,Updateable
Record ID,Id,FALSE,--,--,null,id,FALSE,FALSE
Owner ID,OwnerId,FALSE,--,"[ ""Group"", ""User"" ]",Owner,reference,FALSE,TRUE
Deleted,IsDeleted,FALSE,--,--,null,boolean,FALSE,FALSE
Institution Name,Name,TRUE,--,--,null,string,FALSE,TRUE
Created Date,CreatedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Created By ID,CreatedById,FALSE,--,"[ ""User"" ]",CreatedBy,reference,FALSE,FALSE
Last Modified Date,LastModifiedDate,FALSE,--,--,null,datetime,FALSE,FALSE
Last Modified By ID,LastModifiedById,FALSE,--,"[ ""User"" ]",LastModifiedBy,reference,FALSE,FALSE
System Modstamp,SystemModstamp,FALSE,--,--,null,datetime,FALSE,FALSE
Last Viewed Date,LastViewedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Last Referenced Date,LastReferencedDate,TRUE,--,--,null,datetime,FALSE,FALSE
Contact,FinServ__Contact__c,TRUE,--,"[ ""Contact"" ]",FinServ__Contact__r,reference,FALSE,TRUE
Education Level,FinServ__EducationLevel__c,TRUE,"[ ""High School"" , ""Graduate"" , ""Post Graduate"" , ""Decline to Comment"" ]",--,null,picklist,FALSE,TRUE
Graduation Date,FinServ__GraduationDate__c,TRUE,--,--,null,date,FALSE,TRUE
Institution,FinServ__Institution__c,TRUE,--,--,null,string,FALSE,TRUE
Source System ID,FinServ__SourceSystemId__c,TRUE,--,--,null,string,FALSE,TRUE
