"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__AccountAccountRelation__c","Account-Account Relationship","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","Name","Account Relation Name","string",80,false,"[]",,false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__Account__c","Account","reference",18,true,"[""Account""]","FinServ__Account__r",false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__Active__c","Active","boolean",0,false,"[]",,false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__EndDate__c","End Date","date",0,true,"[]",,false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__ExternalId__c","External ID","string",64,true,"[]",,true,true,,"[]",true
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__InverseRelationship__c","InverseRelationship","reference",18,true,"[""FinServ__AccountAccountRelation__c""]","FinServ__InverseRelationship__r",false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__RelatedAccount__c","Related Account","reference",18,true,"[""Account""]","FinServ__RelatedAccount__r",false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__Role__c","Related Role","reference",18,false,"[""FinServ__ReciprocalRole__c""]","FinServ__Role__r",false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__SourceSystemId__c","Source System ID","string",100,true,"[]",,false,true,,"[]",true
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__StartDate__c","Start Date","date",0,true,"[]",,false,true,,"[]",false
"FinServ__AccountAccountRelation__c","Account-Account Relationship","FinServ__AssociationType__c","Association Type","picklist",255,true,"[]",,false,true,,"[""Group"",""Member"",""Peer""]",false
