"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__Alert__c","Alert","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__Alert__c","Alert","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","Name","Alert Name","string",80,false,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__Alert__c","Alert","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__Alert__c","Alert","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"FinServ__Alert__c","Alert","FinServ__Account__c","Account","reference",18,true,"[""Account""]","FinServ__Account__r",false,true,,"[]",false
"FinServ__Alert__c","Alert","FinServ__Active__c","Active","boolean",0,false,"[]",,false,true,,"[]",false
"FinServ__Alert__c","Alert","FinServ__FinancialAccount__c","Financial Account","reference",18,true,"[""FinServ__FinancialAccount__c""]","FinServ__FinancialAccount__r",false,true,,"[]",false
"FinServ__Alert__c","Alert","FinServ__MessageDescription__c","Message Description","string",255,true,"[]",,false,true,,"[]",false
"FinServ__Alert__c","Alert","FinServ__Message__c","Message","string",255,false,"[]",,false,true,,"[]",false
"FinServ__Alert__c","Alert","FinServ__Priority__c","Priority","picklist",255,true,"[]",,false,true,,"[""Low"",""Medium"",""High""]",false
"FinServ__Alert__c","Alert","FinServ__Severity__c","Severity","picklist",255,false,"[]",,false,true,,"[""Error"",""Warning"",""Info""]",false
"FinServ__Alert__c","Alert","FinServ__SourceSystemId__c","Source System Id","string",100,true,"[]",,false,true,,"[]",true
