"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","Id","Record ID","id",18,false,"[]",,false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","OwnerId","Owner ID","reference",18,false,"[""Group"",""User""]","Owner",false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","Name","Contact Relation Name","string",80,false,"[]",,false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__Active__c","Active","boolean",0,false,"[]",,false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__Contact__c","Contact","reference",18,true,"[""Contact""]","FinServ__Contact__r",false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__EndDate__c","End Date","date",0,true,"[]",,false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__ExternalId__c","External ID","string",64,true,"[]",,true,true,,"[]",true
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__InverseRelationship__c","InverseRelationship","reference",18,true,"[""FinServ__ContactContactRelation__c""]","FinServ__InverseRelationship__r",false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__RelatedContact__c","Related Contact","reference",18,true,"[""Contact""]","FinServ__RelatedContact__r",false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__Role__c","Related Role","reference",18,false,"[""FinServ__ReciprocalRole__c""]","FinServ__Role__r",false,true,,"[]",false
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__SourceSystemId__c","Source System ID","string",100,true,"[]",,false,true,,"[]",true
"FinServ__ContactContactRelation__c","Contact-Contact Relationship","FinServ__StartDate__c","Start Date","date",0,true,"[]",,false,true,,"[]",false
