"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"InsurancePolicyCoverage","Insurance Policy Coverage","Id","Insurance Policy Coverage ID","id",18,false,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","InsurancePolicyId","Insurance Policy ID","reference",18,false,"[""InsurancePolicy""]","InsurancePolicy",false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","CategoryCode","Category Code","string",255,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LimitRange","Limit Range","picklist",40,true,"[]",,false,true,,"[""15/30/5"",""25/50/25"",""50/100/50"",""100/200/50"",""200/500/100""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LimitAmount","Limit Amount","currency",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LimitDate","Limit Date","date",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","LimitPercentage","Limit Percentage","percent",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","PremiumAmount","Premium Amount","currency",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","DeductibleAmount","Deductible Amount","currency",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","Category","Category","picklist",40,true,"[]",,false,true,,"[""Coverage"",""Discount"",""Rider"",""Clause"",""Deductible"",""Limit Component""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","CategoryGroup","Category Group","picklist",40,true,"[]",,false,true,,"[""Liability"",""Uninsured Motorist Insurance"",""Other"",""Auto"",""General"",""Additional Coverage"",""Section-1 Property Coverage"",""Section 2/Liability Coverage"",""Forms and Endorsements"",""Home"",""Bundled Coverage""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","CategoryGroupType","Category Group Type","picklist",40,true,"[]",,false,true,,"[""Bodily Injury"",""Property Damage"",""Medical Payments"",""Collision"",""Comprehensive""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","Discount","Discount","currency",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","BenefitPaymentFrequency","Benefit Payment Frequency","picklist",40,true,"[]",,false,true,,"[""Monthly"",""Semi-Monthly(twice a month)"",""Quarterly"",""Semi-Annual(twice a year)"",""Annually""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","EffectiveDate","Effective Date","datetime",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","ExpirationDate","Expiration Date","datetime",0,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","IncomeOptionType","Income Option Type","picklist",40,true,"[]",,false,true,,"[""Carry Forward"",""Customer Specified"",""Deposit At interest"",""Dividend Payment"",""Indexed"",""Interest Only""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","DeathBenefitOptionType","Death Benefit Option Type","picklist",40,true,"[]",,false,true,,"[""Adjustable"",""Decreasing based on a commuted value""]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","InsurancePolicyAssetId","Insurance Policy Asset ID","reference",18,true,"[""InsurancePolicyAsset""]","InsurancePolicyAsset",false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","SourceSystemIdentifier","Source System Identifier","string",255,true,"[]",,true,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","SourceSystem","Source System","string",255,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","CoverageName","Coverage Name","string",255,true,"[]",,false,true,,"[]",false
"InsurancePolicyCoverage","Insurance Policy Coverage","Description","Description","textarea",32000,true,"[]",,false,true,,"[]",false
