"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"LoanApplicantLiability","Loan Applicant Liability","Id","Loan Applicant Liability ID","id",18,false,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","IsDeleted","Deleted","boolean",0,false,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","Name","Name","string",255,false,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","LastViewedDate","Last Viewed Date","datetime",0,true,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","LastReferencedDate","Last Referenced Date","datetime",0,true,"[]",,false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","LoanApplicantId","Loan Applicant ID","reference",18,false,"[""LoanApplicant""]","LoanApplicant",false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","LoanApplicationLiabilityId","Loan Application Liability ID","reference",18,false,"[""LoanApplicationLiability""]","LoanApplicationLiability",false,false,,"[]",false
"LoanApplicantLiability","Loan Applicant Liability","Role","Role","picklist",40,true,"[]",,false,true,,"[""Co-Holder"",""Primary""]",false
