"attributes","Id","DeveloperName","Active","IsOptional","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","ManageableState","TargetEntityDefinitionId","SourceObject","NamespacePrefix"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh0WAE""}","0DG1U0000004Eh0WAE","nf_01I80000000pwj7EAA_00N80000005abodEAA",true,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh1WAE""}","0DG1U0000004Eh1WAE","nf_01I80000000pwiJEAQ_00N80000005abeeEAA",true,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","01I1U0000004h8b",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh2WAE""}","0DG1U0000004Eh2WAE","nf_01I80000000pwj2EAA_00N80000005abn3EAA",false,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-12-13T17:57:24.000+0000","0051U000000QSJwQAO","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh3WAE""}","0DG1U0000004Eh3WAE","nf_01I80000000pwj2EAA_00N80000005abn6EAA",true,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh4WAE""}","0DG1U0000004Eh4WAE","nf_01I80000000pwiLEAQ_00N80000005abeqEAA",true,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","01I1U0000004h8b",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh5WAE""}","0DG1U0000004Eh5WAE","nf_01I80000000pwj6EAA_00N80000005abo8EAA",true,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh6WAE""}","0DG1U0000004Eh6WAE","nf_01I80000000pwj6EAA_00N80000005aboOEAQ",true,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh7WAE""}","0DG1U0000004Eh7WAE","nf_01I80000000pwj2EAA_00N80000005abn2EAA",false,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh8WAE""}","0DG1U0000004Eh8WAE","nf_01I80000000pwj6EAA_00N80000005abo5EAA",false,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004Eh9WAE""}","0DG1U0000004Eh9WAE","nf_01I80000000pwj7EAA_00N80000005abobEAA",false,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhAWAU""}","0DG1U0000004EhAWAU","nf_01I80000000pwj8EAA_00N80000005abomEAA",false,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhBWAU""}","0DG1U0000004EhBWAU","nf_01I80000000pwj8EAA_00N80000005aborEAA",false,false,"2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","2018-11-08T14:42:38.000+0000","0051U000000gqotQAA","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhCWAU""}","0DG1U0000004EhCWAU","nf_Account_00N800000065GtFEAU",true,false,"2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","User",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhDWAU""}","0DG1U0000004EhDWAU","nf_Contact_00N800000065GuQEAU",true,false,"2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","User",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhEWAU""}","0DG1U0000004EhEWAU","nf_Lead_00N800000065GviEAE",false,false,"2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","Account",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhFWAU""}","0DG1U0000004EhFWAU","nf_Lead_00N800000065GvlEAE",true,false,"2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","User",,"FinServ"
"{""type"":""LookupFilter"",""url"":""/services/data/v44.0/tooling/sobjects/LookupFilter/0DG1U0000004EhGWAU""}","0DG1U0000004EhGWAU","nf_Opportunity_00N800000065GvoEAE",true,false,"2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","2018-11-08T14:42:38.000+0000","0051U000000QSJwQAO","installed","User",,"FinServ"
