"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"ObjectPermissions","Object Permissions","Id","ObjectPermissions ID","id",18,false,"[]",,false,false,,"[]",false
"ObjectPermissions","Object Permissions","ParentId","Parent ID","reference",18,false,"[""PermissionSet""]","Parent",false,false,,"[]",false
"ObjectPermissions","Object Permissions","SobjectType","Sobject Type Name","picklist",40,false,"[]",,false,false,,"[null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null]",false
"ObjectPermissions","Object Permissions","PermissionsCreate","Create Records","boolean",0,false,"[]",,false,true,,"[]",false
"ObjectPermissions","Object Permissions","PermissionsRead","Read Records","boolean",0,false,"[]",,false,true,,"[]",false
"ObjectPermissions","Object Permissions","PermissionsEdit","Edit Records","boolean",0,false,"[]",,false,true,,"[]",false
"ObjectPermissions","Object Permissions","PermissionsDelete","Delete Records","boolean",0,false,"[]",,false,true,,"[]",false
"ObjectPermissions","Object Permissions","PermissionsViewAllRecords","Read All Records","boolean",0,false,"[]",,false,true,,"[]",false
"ObjectPermissions","Object Permissions","PermissionsModifyAllRecords","Edit All Records","boolean",0,false,"[]",,false,true,,"[]",false
"ObjectPermissions","Object Permissions","CreatedDate","Created Date","datetime",0,false,"[]",,false,false,,"[]",false
"ObjectPermissions","Object Permissions","CreatedById","Created By ID","reference",18,false,"[""User""]","CreatedBy",false,false,,"[]",false
"ObjectPermissions","Object Permissions","LastModifiedDate","Last Modified Date","datetime",0,false,"[]",,false,false,,"[]",false
"ObjectPermissions","Object Permissions","LastModifiedById","Last Modified By ID","reference",18,false,"[""User""]","LastModifiedBy",false,false,,"[]",false
"ObjectPermissions","Object Permissions","SystemModstamp","System Modstamp","datetime",0,false,"[]",,false,false,,"[]",false
