"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"PermissionSet","Permission Set","Id","PermissionSet ID","id",18,false,"[]",,false,false,,"[]",false
"PermissionSet","Permission Set","Name","Permission Set Name","string",80,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","Label","Permission Set Label","string",80,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","LicenseId","License ID","reference",18,true,"[""PermissionSetLicense"",""UserLicense""]","License",false,false,,"[]",false
"PermissionSet","Permission Set","ProfileId","Profile ID","reference",18,true,"[""Profile""]","Profile",false,false,,"[]",false
"PermissionSet","Permission Set","IsOwnedByProfile","Is Owned By Profile","boolean",0,false,"[]",,false,false,,"[]",false
"PermissionSet","Permission Set","IsCustom","Is Custom","boolean",0,false,"[]",,false,false,,"[]",false
"PermissionSet","Permission Set","PermissionsEmailSingle","Send Email","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEmailMass","Mass Email","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditTask","Edit Tasks","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditEvent","Edit Events","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsExportReport","Export Reports","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsImportPersonal","Import Personal Contacts","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsDataExport","Weekly Data Export","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsManageUsers","Manage Users","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditPublicFilters","Manage Public List Views","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditPublicTemplates","Manage Public Classic Email Templates","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsModifyAllData","Modify All Data","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsManageCases","Manage Cases","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsMassInlineEdit","Mass Edits from Lists","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsManageSolutions","Manage Published Solutions","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsCustomizeApplication","Customize Application","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditReadonlyFields","Edit Read Only Fields","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsRunReports","Run Reports","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsViewSetup","View Setup and Configuration","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsTransferAnyEntity","Transfer Record","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsNewReportBuilder","Report Builder","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsActivateContract","Activate Contracts","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsActivateOrder","Activate Orders","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsImportLeads","Import Leads","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsManageLeads","Manage Leads","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsTransferAnyLead","Transfer Leads","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsViewAllData","View All Data","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditPublicDocuments","Manage Public Documents","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsViewEncryptedData","View Encrypted Data","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditBrandTemplates","Manage Letterheads","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditHtmlTemplates","Edit HTML Templates","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsChatterInternalUser","Chatter Internal User","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsDeleteActivatedContract","Delete Activated Contracts","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsChatterInviteExternalUsers","Invite Customers To Chatter","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsSendSitRequests","Send Stay-in-Touch Requests","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsOverrideForecasts","Override Forecasts","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsViewAllForecasts","View All Forecasts","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsApiUserOnly","Api Only User","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsManageRemoteAccess","Manage Connected Apps","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsCanUseNewDashboardBuilder","Drag-and-Drop Dashboard Builder","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsManageCategories","Manage Categories","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsConvertLeads","Convert Leads","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsPasswordNeverExpires","Password Never Expires","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsUseTeamReassignWizards","Use Team Reassignment Wizards","boolean",0,false,"[]",,false,true,,"[]",false
"PermissionSet","Permission Set","PermissionsEditActivatedOrders","Edit Activated Orders","boolean",0,false,"[]",,false,true,,"[]",false
