"sobjectName","sobjectLabel","name","label","type","length","nillable","referenceTo","relationshipName","unique","updateable","inlineHelpText","picklistValues","externalId"
"User","User","Id","User ID","id",18,false,"[]",,false,false,,"[]",false
"User","User","Username","Username","string",80,false,"[]",,false,true,,"[]",false
"User","User","LastName","Last Name","string",80,false,"[]",,false,true,,"[]",false
"User","User","FirstName","First Name","string",40,true,"[]",,false,true,,"[]",false
"User","User","MiddleName","Middle Name","string",40,true,"[]",,false,true,,"[]",false
"User","User","Suffix","Suffix","string",40,true,"[]",,false,true,,"[]",false
"User","User","Name","Full Name","string",121,false,"[]",,false,false,,"[]",false
"User","User","CompanyName","Company Name","string",80,true,"[]",,false,true,,"[]",false
"User","User","Division","Division","string",80,true,"[]",,false,true,,"[]",false
"User","User","Department","Department","string",80,true,"[]",,false,true,,"[]",false
"User","User","Title","Title","string",80,true,"[]",,false,true,,"[]",false
"User","User","Street","Street","textarea",255,true,"[]",,false,true,,"[]",false
"User","User","City","City","string",40,true,"[]",,false,true,,"[]",false
"User","User","State","State/Province","string",80,true,"[]",,false,true,,"[]",false
"User","User","PostalCode","Zip/Postal Code","string",20,true,"[]",,false,true,,"[]",false
"User","User","Country","Country","string",80,true,"[]",,false,true,,"[]",false
"User","User","Latitude","Latitude","double",0,true,"[]",,false,true,,"[]",false
"User","User","Longitude","Longitude","double",0,true,"[]",,false,true,,"[]",false
"User","User","GeocodeAccuracy","Geocode Accuracy","picklist",40,true,"[]",,false,true,,"[""Address"",""NearAddress"",""Block"",""Street"",""ExtendedZip"",""Zip"",""Neighborhood"",""City"",""County"",""State"",""Unknown""]",false
"User","User","Address","Address","address",0,true,"[]",,false,false,,"[]",false
"User","User","Email","Email","email",128,false,"[]",,false,true,,"[]",false
"User","User","EmailPreferencesAutoBcc","AutoBcc","boolean",0,false,"[]",,false,true,,"[]",false
"User","User","EmailPreferencesAutoBccStayInTouch","AutoBccStayInTouch","boolean",0,false,"[]",,false,true,,"[]",false
"User","User","EmailPreferencesStayInTouchReminder","StayInTouchReminder","boolean",0,false,"[]",,false,true,,"[]",false
"User","User","SenderEmail","Email Sender Address","email",80,true,"[]",,false,true,,"[]",false
"User","User","SenderName","Email Sender Name","string",80,true,"[]",,false,true,,"[]",false
"User","User","Signature","Email Signature","textarea",1333,true,"[]",,false,true,,"[]",false
"User","User","StayInTouchSubject","Stay-in-Touch Email Subject","string",80,true,"[]",,false,true,,"[]",false
"User","User","StayInTouchSignature","Stay-in-Touch Email Signature","textarea",512,true,"[]",,false,true,,"[]",false
"User","User","StayInTouchNote","Stay-in-Touch Email Note","string",512,true,"[]",,false,true,,"[]",false
"User","User","Phone","Phone","phone",40,true,"[]",,false,true,,"[]",false
"User","User","Fax","Fax","phone",40,true,"[]",,false,true,,"[]",false
"User","User","MobilePhone","Mobile","phone",40,true,"[]",,false,true,,"[]",false
"User","User","Alias","Alias","string",8,false,"[]",,false,true,,"[]",false
"User","User","CommunityNickname","Nickname","string",40,false,"[]",,false,true,,"[]",false
"User","User","BadgeText","User Photo badge text overlay","string",80,true,"[]",,false,false,,"[]",false
"User","User","IsActive","Active","boolean",0,false,"[]",,false,true,,"[]",false
